State,City
New York,New York
California,Los Angeles
Illinois,Chicago
Texas,Houston
Arizona,Phoenix
Pennsylvania,Philadelphia
Texas,San Antonio
California,San Diego
Texas,Dallas
California,San Jose
Texas,Austin
Florida,Jacksonville
Texas,Fort Worth
Ohio,Columbus
California,San Francisco
North Carolina,Charlotte
Indiana,Indianapolis
Washington,Seattle
Colorado,Denver
District of Columbia,Washington
Massachusetts,Boston
Texas,El Paso
Michigan,Detroit
Tennessee,Nashville
Oregon,Portland
Tennessee,Memphis
Oklahoma,Oklahoma City
Nevada,Las Vegas
Kentucky,Louisville
Maryland,Baltimore
Wisconsin,Milwaukee
New Mexico,Albuquerque
Arizona,Tucson
California,Fresno
Arizona,Mesa
California,Sacramento
Georgia,Atlanta
Missouri,Kansas City
Colorado,Colorado Springs
Florida,Miami
North Carolina,Raleigh
Nebraska,Omaha
California,Long Beach
Virginia,Virginia Beach
California,Oakland
Minnesota,Minneapolis
Oklahoma,Tulsa
Texas,Arlington
Florida,Tampa
Louisiana,New Orleans
Kansas,Wichita
Ohio,Cleveland
California,Bakersfield
Colorado,Aurora
California,Anaheim
Hawaii,Honolulu
California,Santa Ana
California,Riverside
Texas,Corpus Christi
Kentucky,Lexington
California,Stockton
Nevada,Henderson
Minnesota,Saint Paul
Missouri,St. Louis
Ohio,Cincinnati
Pennsylvania,Pittsburgh
North Carolina,Greensboro
Alaska,Anchorage
Texas,Plano
Nebraska,Lincoln
Florida,Orlando
California,Irvine
New Jersey,Newark
Ohio,Toledo
North Carolina,Durham
California,Chula Vista
Indiana,Fort Wayne
New Jersey,Jersey City
Florida,St. Petersburg
Texas,Laredo
Wisconsin,Madison
Arizona,Chandler
New York,Buffalo
Texas,Lubbock
Arizona,Scottsdale
Nevada,Reno
Arizona,Glendale
Arizona,Gilbert
North Carolina,Winston–Salem
Nevada,North Las Vegas
Virginia,Norfolk
Virginia,Chesapeake
Texas,Garland
Texas,Irving
Florida,Hialeah
California,Fremont
Idaho,Boise
Virginia,Richmond
Louisiana,Baton Rouge
Washington,Spokane
Iowa,Des Moines
Washington,Tacoma
California,San Bernardino
California,Modesto
California,Fontana
California,Santa Clarita
Alabama,Birmingham
California,Oxnard
North Carolina,Fayetteville
California,Moreno Valley
New York,Rochester
California,Glendale
California,Huntington Beach
Utah,Salt Lake City
Michigan,Grand Rapids
Texas,Amarillo
New York,Yonkers
Illinois,Aurora
Alabama,Montgomery
Ohio,Akron
Arkansas,Little Rock
Alabama,Huntsville
Georgia,Augusta
Florida,Port St. Lucie
Texas,Grand Prairie
Georgia,Columbus
Florida,Tallahassee
Kansas,Overland Park
Arizona,Tempe
Texas,McKinney
Alabama,Mobile
Florida,Cape Coral
Louisiana,Shreveport
Texas,Frisco
Tennessee,Knoxville
Massachusetts,Worcester
Texas,Brownsville
Washington,Vancouver
Florida,Fort Lauderdale
South Dakota,Sioux Falls
California,Ontario
Tennessee,Chattanooga
Rhode Island,Providence
Virginia,Newport News
California,Rancho Cucamonga
California,Santa Rosa
California,Oceanside
Oregon,Salem
California,Elk Grove
California,Garden Grove
Florida,Pembroke Pines
Arizona,Peoria
Oregon,Eugene
California,Corona
North Carolina,Cary
Missouri,Springfield
Colorado,Fort Collins
Mississippi,Jackson
Virginia,Alexandria
California,Hayward
California,Lancaster
Colorado,Lakewood
Tennessee,Clarksville
California,Palmdale
California,Salinas
Massachusetts,Springfield
Florida,Hollywood
Texas,Pasadena
California,Sunnyvale
Georgia,Macon
Kansas,Kansas City
California,Pomona
California,Escondido
Texas,Killeen
Illinois,Naperville
Illinois,Joliet
Washington,Bellevue
Illinois,Rockford
Georgia,Savannah
New Jersey,Paterson
California,Torrance
Connecticut,Bridgeport
Texas,McAllen
Texas,Mesquite
New York,Syracuse
Texas,Midland
California,Pasadena
Tennessee,Murfreesboro
Florida,Miramar
Ohio,Dayton
California,Fullerton
Kansas,Olathe
California,Orange
Colorado,Thornton
California,Roseville
Texas,Denton
Texas,Waco
Arizona,Surprise
Texas,Carrollton
Utah,West Valley City
South Carolina,Charleston
Michigan,Warren
Virginia,Hampton
Florida,Gainesville
California,Visalia
Florida,Coral Springs
South Carolina,Columbia
Iowa,Cedar Rapids
Michigan,Sterling Heights
Connecticut,New Haven
Connecticut,Stamford
California,Concord
Washington,Kent
California,Santa Clara
New Jersey,Elizabeth
Texas,Round Rock
California,Thousand Oaks
Louisiana,Lafayette
Georgia,Athens
Kansas,Topeka
California,Simi Valley
North Dakota,Fargo
Oklahoma,Norman
Missouri,Columbia
Texas,Abilene
North Carolina,Wilmington
Connecticut,Hartford
California,Victorville
Texas,Pearland
California,Vallejo
Michigan,Ann Arbor
California,Berkeley
Pennsylvania,Allentown
Texas,Richardson
Texas,Odessa
Colorado,Arvada
Massachusetts,Cambridge
Texas,Sugar Land
Texas,Beaumont
Michigan,Lansing
Indiana,Evansville
Minnesota,Rochester
Missouri,Independence
California,Fairfield
Utah,Provo
Florida,Clearwater
Texas,College Station
Utah,West Jordan
California,Carlsbad
California,El Monte
California,Murrieta
California,Temecula
Illinois,Springfield
Florida,Palm Bay
California,Costa Mesa
Colorado,Westminster
South Carolina,North Charleston
Florida,Miami Gardens
New Hampshire,Manchester
North Carolina,High Point
California,Downey
California,Clovis
Florida,Pompano Beach
Colorado,Pueblo
Illinois,Elgin
Massachusetts,Lowell
California,Antioch
Florida,West Palm Beach
Illinois,Peoria
Washington,Everett
California,Ventura
Colorado,Centennial
Florida,Lakeland
Oregon,Gresham
California,Richmond
Montana,Billings
California,Inglewood
Oklahoma,Broken Arrow
Georgia,Sandy Springs
California,Jurupa Valley
Oregon,Hillsboro
Connecticut,Waterbury
California,Santa Maria
Colorado,Boulder
